0  17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	26	0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	27	0	0	0   
5  22	0	0	0	4	17	27	25	28	22	25	15	1	18	11	16	24	25	22	4	5	0	0	0	9	12	6	16	7	18	20	6	28	0	0	0	13	0	0	0	21	0	0	0	4	0	0	0	26	0	0	0	23	0	0	0	25	21	8	24  
1  2	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0   
1  8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	13	0	0	0	21	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0   
13 13	0	0	0	7	0	0	0	3	26	11	7	20	1	8	22	18	19	20	5	7	0	0	0	12	0	0	0	7	0	0	0	8	3	3	21	3	4	3	7	28	0	0	0	8	0	0	0	16	0	0	0	22	4	4	3	5	0	0	0   
27 26	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	8	0	0	0	4	0	0	0   
19 9	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	7	0	0	0	6	0	0	0   
17 12	0	0	0	16	0	0	0	23	0	0	0	17	13	20	21	5	25	18	23	13	28	25	18	9	0	0	0	28	0	0	0	22	0	0	0	10	14	7	3	22	13	23	5	15	0	0	0	14	0	0	0	9	0	0	0	15	0	0	0   
10 24	0	0	0	12	0	0	0	3	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	23	0	0	0	0	0	0	0	26	0	0	0	9	0	0	0	0	0	0	0	15	0	0	0   
28 23	0	0	0	19	0	0	0	5	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	16	0	0	0	5	0	0	0	0	0	0	0	28	0	0	0	21	0	0	0	0	0	0	0	22	0	0	0   
24 14	0	0	0	5	0	0	0	24	0	0	0	5	0	0	0	12	20	2	15	4	4	24	15	10	26	9	15	24	25	9	22	28	0	0	0	12	15	5	22	1	0	0	0	21	0	0	0	16	6	9	14	24	3	5	7	17	0	0	0   
7  11	0	0	0	0	0	0	0	24	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0   
6  21	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0   
1  1	24	10	26	3	15	2	12	15	0	0	0	3	0	0	0	15	7	11	26	13	1	19	5	26	5	20	10	7	0	0	0	22	0	0	0	14	0	0	0	9	4	28	15	22	21	9	20	12	0	0	0	6	27	24	8	15	15	4	1  
25 0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0  
25 0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0   
23 26	0	0	0	12	12	25	8	28	19	17	10	28	0	0	0	18	23	25	22	25	28	6	7	26	0	0	0	25	0	0	0	18	2	1	17	11	15	5	2	21	0	0	0	24	1	3	11	12	6	4	5	21	24	28	22	8	0	0	0   
10 11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   
22 13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   
18 2	6	16	7	25	15	27	5	9	21	14	17	24	25	24	8	9	18	21	8	25	9	27	1	4	20	1	23	14	13	16	2	7	20	23	20	14	21	8	28	14	8	15	7	10	14	8	18	9	4	22	2	22	25	3	15	20	11	13	9   

